Background,Precentral_L,Precentral_R,Frontal_Sup_L,Frontal_Sup_R,Frontal_Sup_Orb_L,Frontal_Sup_Orb_R,Frontal_Mid_L,Frontal_Mid_R,Frontal_Mid_Orb_L,Frontal_Mid_Orb_R,Frontal_Inf_Oper_L,Frontal_Inf_Oper_R,Frontal_Inf_Tri_L,Frontal_Inf_Tri_R,Frontal_Inf_Orb_L,Frontal_Inf_Orb_R,Rolandic_Oper_L,Rolandic_Oper_R,Supp_Motor_Area_L,Supp_Motor_Area_R,Olfactory_L,Olfactory_R,Frontal_Sup_Medial_L,Frontal_Sup_Medial_R,Frontal_Med_Orb_L,Frontal_Med_Orb_R,Rectus_L,Rectus_R,Insula_L,Insula_R,Cingulum_Ant_L,Cingulum_Ant_R,Cingulum_Mid_L,Cingulum_Mid_R,Cingulum_Post_L,Cingulum_Post_R,Hippocampus_L,Hippocampus_R,ParaHippocampal_L,ParaHippocampal_R,Amygdala_L,Amygdala_R,Calcarine_L,Calcarine_R,Cuneus_L,Cuneus_R,Lingual_L,Lingual_R,Occipital_Sup_L,Occipital_Sup_R,Occipital_Mid_L,Occipital_Mid_R,Occipital_Inf_L,Occipital_Inf_R,Fusiform_L,Fusiform_R,Postcentral_L,Postcentral_R,Parietal_Sup_L,Parietal_Sup_R,Parietal_Inf_L,Parietal_Inf_R,SupraMarginal_L,SupraMarginal_R,Angular_L,Angular_R,Precuneus_L,Precuneus_R,Paracentral_Lobule_L,Paracentral_Lobule_R,Caudate_L,Caudate_R,Putamen_L,Putamen_R,Pallidum_L,Pallidum_R,Thalamus_L,Thalamus_R,Heschl_L,Heschl_R,Temporal_Sup_L,Temporal_Sup_R,Temporal_Pole_Sup_L,Temporal_Pole_Sup_R,Temporal_Mid_L,Temporal_Mid_R,Temporal_Pole_Mid_L,Temporal_Pole_Mid_R,Temporal_Inf_L,Temporal_Inf_R,Cerebelum_Crus1_L,Cerebelum_Crus1_R,Cerebelum_Crus2_L,Cerebelum_Crus2_R,Cerebelum_3_L,Cerebelum_3_R,Cerebelum_4_5_L,Cerebelum_4_5_R,Cerebelum_6_L,Cerebelum_6_R,Cerebelum_7b_L,Cerebelum_7b_R,Cerebelum_8_L,Cerebelum_8_R,Cerebelum_9_L,Cerebelum_9_R,Cerebelum_10_L,Cerebelum_10_R,Vermis_1_2,Vermis_3,Vermis_4_5,Vermis_6,Vermis_7,Vermis_8,Vermis_9
-0.0011404419,0.053911798,-0.07380189,-0.005805449,-0.058667272,-0.088892534,-0.05050278,-0.027493294,0.0098430505,-0.04037882,0.04950449,0.058336824,0.064585656,0.038215104,0.0024339873,-0.04019842,-0.027336592,-0.046032388,-0.056965638,-0.0449226,-0.054517124,-0.06453099,-0.038559914,-0.030246655,0.045944843,-0.07016305,-0.030973794,-0.033162538,0.023035707,-0.033277612,-0.015418347,-0.01757634,0.00016322298,-0.030825615,0.03540053,-0.06728621,0.009444455,-0.012267578,0.016459422,-0.059239086,0.023135707,-0.08866531,0.009984854,0.030562187,-0.084634826,-0.063800044,-0.03341319,-0.01230789,-0.054178182,-0.09831017,0.012540866,-0.04497526,-0.075738095,0.025789013,-0.006452,0.032503396,0.071740754,0.009807552,-0.036831103,-0.04537422,0.015834944,-0.050763216,0.025615914,-0.03747189,-0.0809392,-0.06855423,-0.05919788,-0.07676977,-0.11122382,-0.007835122,0.016514862,0.04445775,0.053565904,-0.01008315,-0.0053041046,-0.014154436,0.0029686184,0.123547055,0.016815688,0.00021378843,0.02678089,0.011487311,-0.049070843,-0.02607187,-0.05755234,-0.042543128,-0.017038839,-0.107660525,-0.012591007,-0.07524755,-0.055094037,-0.090151675,-0.08378608,-0.032813895,-0.02677461,0.008804758,0.004212853,0.15674679,-0.027328936,0.04935075,-0.034425672,-0.07959954,-0.016070148,-0.0008219175,-0.0033121156,-0.0026065884,0.021347763,-0.03992657,-0.0008840822,0.04082931,0.024506215,0.08204324,0.025774524,-0.009454963,-0.034928944,-0.034967776
2.2563128,2.0490706,1.1716648,-0.35060233,-2.1848571,-1.0828117,0.24954635,0.12667273,-1.0918976,-2.7353497,0.35423222,0.5004981,0.9370639,-1.3571178,-0.026981147,-1.421658,1.709275,2.467433,2.56029,3.457128,0.17571938,-0.36118862,-0.71256447,-0.8865374,-0.8846396,-0.35693923,-1.8625811,-1.855426,1.6944702,0.99716395,-1.0125775,-0.66216916,0.91501755,0.34168005,0.028214155,-0.33678967,0.8579663,0.0067580226,0.26204997,0.14259271,0.6662959,0.95157564,0.7001284,0.81945235,0.18353094,0.5208058,1.7467905,1.1832387,1.4113591,1.3567166,0.7389155,0.8443583,1.3769115,-0.1142616,1.1034973,-0.022763778,1.9440709,1.8813097,2.4238062,1.5051531,0.63025147,1.0941778,0.9866388,0.86994404,-0.35627192,0.37642992,0.91157514,0.004060545,3.2668302,0.35190514,-1.1130738,-1.0108849,1.1207029,1.0679771,-0.05754489,0.5353157,1.8870989,0.40581593,0.21516648,-0.22655548,-0.45924544,-0.72055125,0.019607756,0.2996482,-0.19665405,1.0871228,2.5837555,2.0639546,-0.2839243,0.4179543,0.22377847,2.035797,0.44001684,0.7274642,0.61454177,1.3465453,-0.11766653,-2.3040226,2.2054706,-0.7551749,-0.23862408,0.3087239,1.0128781,0.28441647,0.47993103,-0.9332006,-0.8545944,-2.0361073,-1.0816478,0.117987126,1.3659346,1.214202,2.5124798,2.8412075,0.9255909,-1.2713544
1.4076203,0.7920885,0.58493996,-0.61591333,-1.9059973,-1.1092014,-0.42866752,0.11101809,-1.6973485,-1.764795,-1.0611784,-0.9947572,-1.2929915,-1.9754999,-0.85767794,-0.7528235,0.74808437,2.1386724,2.2465587,3.7440152,0.17274138,-0.96401864,-1.3266848,-1.290319,-1.4969947,-0.6137738,-1.8250872,-2.1304631,1.1111867,0.728031,-1.5423014,-0.88280356,-0.53149223,-0.17906061,-1.5191816,-0.38525012,1.1559011,0.4151987,-1.0072535,0.5018077,0.80058295,1.8141897,0.2800341,0.40942892,-0.13049404,0.19789381,1.621582,1.1165235,0.85873234,1.7498256,0.4167299,1.3626224,1.2290761,-0.12785746,0.2842157,-0.65676826,1.438344,0.52828074,1.2713245,1.0948572,-0.2776211,0.6501576,0.12603216,0.53442,-1.2309124,-0.35641268,-0.5712759,-0.8698207,3.516584,0.18058887,-1.9605418,-1.8466533,-0.4333626,0.818979,-0.07362904,-0.5509345,0.7487173,-0.08983728,-0.5146572,0.49968478,-0.6999054,-1.1908203,0.56070477,0.85034335,-0.646614,1.1527063,3.4170876,2.4894013,-0.37952608,1.1506609,0.805835,2.2136858,0.49711993,0.13484901,0.18992357,0.42914167,-1.535706,-3.4431205,1.4454799,-1.1220433,-0.5506304,-0.18186335,1.264574,0.43371138,0.24810003,-1.3366927,-1.1769223,-2.266301,-1.4799188,-0.78934693,0.9042032,0.86220944,1.4411529,2.1269517,0.9638794,-0.40025914
-0.34175614,-0.9599875,-0.67625445,-1.0550425,-0.36799937,-0.50917524,-1.1493543,-0.3346472,-1.2940377,0.5705482,-1.4096999,-1.4077502,-2.4130054,-1.1200672,-1.4444885,0.6535608,-0.8832435,0.5459027,0.02070835,1.26848,0.21507655,-1.0808953,-1.1175079,-1.0752072,-0.89216554,-0.7000746,-0.09091826,-0.8856278,-0.4926629,-0.08681715,-1.2230136,-0.7400925,-1.9123507,-0.8029882,-1.7683452,0.1815865,0.57975954,0.6072359,-1.1188891,0.41453028,0.16872272,1.449242,0.05952262,-0.33581355,-0.1689955,0.16117382,0.270203,0.37922683,-0.23831746,1.163567,0.17156257,1.5571414,0.6878858,0.27195,-0.20783368,-0.08477914,-0.23065878,-1.0869762,-0.74889505,0.0033048028,-1.0635327,-0.82924235,-0.52472436,0.31160983,-0.82061213,-0.79587126,-1.6155684,-1.1726143,1.1839973,0.20034821,-1.4869736,-1.4449918,-2.4240992,-0.22023858,-0.3383572,-1.8837037,-0.4929133,0.017391637,-0.9780781,0.8028666,-0.7431319,-0.95969135,0.6649984,0.50547796,-0.4664751,0.79271483,2.2399826,1.485863,0.060559355,1.5675229,1.1611018,1.3740433,0.5176267,0.0075968564,-0.6771773,-1.1275711,-1.5244205,-2.3405921,-0.06322388,-0.1792032,0.35957983,-0.12789288,1.4600309,1.1338353,0.5826241,-0.67734486,-0.36207807,-1.0195106,-0.59985584,-1.1779788,-0.0084276805,0.33562174,-0.516437,0.13150543,0.6839212,1.1012503
-0.4302078,-0.80334145,-0.77490973,-1.6774454,-0.010085368,-0.06524543,-0.94213486,-1.0583265,-0.07571222,0.6670011,-0.0065614157,0.38823166,-0.03459125,-0.108887814,-1.2049656,0.5219441,-0.9457765,-0.11497799,-1.0620054,-0.92696613,0.46111822,-0.4881304,-0.5791815,-0.8585074,0.17109305,-0.99779767,1.0786836,0.23027919,-0.72392356,-0.107412,-0.54510343,-0.9356703,-1.2915668,-1.073443,0.33906478,0.7256667,0.017577711,0.2559697,0.83052975,-0.112400986,-0.5368912,0.34348395,0.43310517,-0.52245265,0.47722808,0.6411729,-0.7368783,-0.014105701,-0.44146183,0.03205217,0.09346288,0.75299895,0.48868665,0.6820188,0.75682557,1.3606737,-1.115582,-0.583383,-0.5199377,-0.2646391,-0.49722558,-1.8026341,0.032893796,0.25509045,0.7767377,-0.68338555,-0.2148643,-0.39453858,-0.74915034,0.25763473,-0.26616296,-0.3201433,-1.9745535,-1.0950328,-0.85338247,-1.3351998,0.08339912,0.46035275,-0.5029594,-0.24434526,-0.9613908,-0.7727371,-0.05334467,-0.54034084,-0.22552125,-0.052315526,0.91879666,0.4507641,0.3469591,0.8340646,0.31869063,0.88445824,0.27194667,0.78818405,-0.8706546,-0.28272286,0.7019877,-0.21978179,-0.04690831,1.1232816,1.4493974,0.45308396,1.4074887,1.5208899,1.2179103,0.20222902,0.7542258,0.09332117,0.46315402,-0.23144785,0.058269225,0.7632003,0.088998415,-0.052890632,0.38928849,1.1786474
-0.50963825,-1.2025334,-0.26022524,-1.9775699,-0.63224113,0.12565331,-0.4666362,-1.5675365,0.82793635,-0.5597421,0.14862868,0.8019644,1.4058864,-0.5548166,-1.0265164,-0.7737379,-0.7036248,-0.6584024,-0.8401127,-1.680201,0.20224592,-0.46502766,-0.98966926,-1.3155926,0.1079192,-1.5278416,0.37799805,0.020804666,-0.18767373,0.07759404,-0.29668605,-1.426153,-0.67633224,-1.7010288,1.084973,0.15414129,-0.07738387,-0.5572597,1.4874011,-0.515488,-0.81278765,-0.034590468,-0.35860866,-0.9003507,0.60809666,-0.062032923,-1.3285555,-0.75577533,-0.65041816,-1.2623496,-1.3226924,-1.4172014,-0.7175953,0.02944396,0.28438872,0.28076848,-1.6411189,-0.6770064,-0.02929084,-0.7804333,-0.002083794,-1.6814883,-0.68514293,-1.2964318,1.0354671,-1.3920069,0.60992956,-0.39086446,-1.2171307,-0.88210285,0.0317283,-0.08353733,-0.51646763,-1.5969543,-0.48586363,0.330033,-0.17722835,-0.679436,-0.33353987,-1.5445324,-1.5551604,-1.7526591,-0.8125428,-0.97114307,-1.606336,-1.9801141,0.646968,-0.25689796,-0.78996295,-0.92887324,-1.5269935,0.30212495,-0.89813876,0.26547462,-0.56861,1.7758057,1.274917,0.4676232,-0.5939677,0.25263447,-0.082792915,-0.37382177,-0.40194494,-0.02381805,0.004891285,-0.19768763,0.34182662,-0.00649382,0.45960358,0.7788995,0.015904864,0.7369636,1.407401,0.31474197,-0.2568478,0.7807844
-1.5583154,-2.766504,-0.10300787,-1.4063479,-0.5747107,0.10298162,-0.033876304,-1.1655177,0.66260386,-0.6138333,-0.45601058,-0.7446434,0.16747917,-1.0317713,-0.85629255,-1.3957256,-0.9300719,-1.7422134,-1.130072,-1.9454614,-0.97309005,-1.4211537,-1.4545943,-1.5601056,-0.2729426,-1.0989931,-0.7354998,-0.86289626,-0.7066208,-0.7205034,-0.13700366,-0.9517201,-0.6824932,-1.8926575,-0.66263986,-0.8919346,-0.9515417,-1.6817393,0.010925156,-0.9296967,-1.3370223,-0.1380077,-2.1237535,-1.7205062,-0.24586792,-1.5342873,-1.6257082,-2.2812867,-1.0567758,-1.7921914,-2.9772227,-2.9709535,-2.461241,-1.3905029,-2.2137861,-3.0155606,-1.9326824,-2.0808945,-0.92986894,-1.8930429,-0.09726483,-0.5551125,-2.6266344,-2.7418287,0.32307765,-1.7079887,-0.5479065,-1.1358172,-1.3365815,-2.1660695,-0.2283905,-0.49068993,-0.41721767,-1.5652232,1.2049559,0.9264624,-1.5147084,-2.0488796,-0.88599926,-2.0118916,-2.001853,-2.6859782,-1.1757429,-1.087633,-3.2518816,-3.297497,0.21269998,-0.8447169,-2.689636,-2.2848637,-2.5706232,-0.6543937,-1.901492,-1.1533273,-0.46131527,1.0852358,-0.88182807,-0.52482027,-2.6164315,-2.3788536,-2.7043326,-1.7340484,-2.7805147,-2.1952388,-2.2516184,-1.4363649,-1.4784988,-1.0365653,0.46725777,1.5000576,-0.852636,-0.507862,0.77282906,-0.4269592,-0.44578072,1.08853
-0.894024,-1.8496193,0.7562322,0.09753129,0.01990095,-0.41623995,1.4291157,0.8799102,0.31623456,0.12130685,0.7576358,-0.7539844,-0.108560055,0.27456313,0.3071637,-0.9953413,-0.10381915,-1.7328471,-1.0041176,-1.4058596,-1.8377888,-1.768594,-0.13050461,-0.1146155,0.61606264,0.7426815,-0.58497286,-1.3086934,-1.303252,-1.5762411,0.72284573,0.5436435,0.9615141,0.2670283,-1.0277209,-0.61406475,-2.5033414,-1.8751396,-0.5196246,-1.2673943,-2.0236335,-0.81792593,-2.3944995,-1.6499598,-0.6908036,-1.2986823,-0.72714233,-2.4992328,-0.6544603,-1.0445975,-2.121893,-1.9727801,-1.9940965,-1.5802058,-2.966201,-3.693138,-0.24153198,-1.1819936,-0.76533,-1.2987118,0.7138553,1.3500997,-2.0369606,-1.106391,0.86158866,0.15403114,-0.4907087,-0.23969263,-0.9481585,-1.0196484,0.23707704,-0.35816368,-0.4093266,-0.8625575,2.1099916,0.6944869,-0.9267097,-0.8651166,-1.0996667,-1.3736794,-1.5691092,-1.4663966,-1.008828,-1.3667153,-2.1803706,-2.1711714,-0.89145213,-0.6830826,-2.8480976,-1.7639327,-1.488216,-0.8848061,-1.0510434,-0.7382519,-0.49783927,-1.720164,-1.9000901,-1.2091287,-2.5739636,-2.9420514,-2.1681972,-0.95388883,-2.1963503,-2.317325,-2.2982194,-1.5393813,-2.422548,-1.6774311,1.3403757,2.4375145,-1.1879348,-1.093111,-0.32640994,-0.937752,0.63334376,0.672051
1.9161198,1.6621301,2.692412,1.6527361,0.3169114,-1.0563697,3.5976608,3.5889711,1.100694,0.17372142,2.1538875,1.0421631,1.3448894,1.9099109,1.8644992,-0.40048018,1.6183859,-0.042387545,1.1803237,0.28336534,-1.2293211,-0.63398504,2.2073522,2.0086212,1.8902547,2.4908092,0.49579751,-1.0951567,-0.37683964,-1.016395,1.8850194,1.2396659,3.704722,3.5701532,1.4237481,1.1929796,-2.4368138,-0.27774164,0.7129753,-0.67854065,-1.4307369,-1.1852903,-0.79577065,-0.3428589,0.1231189,0.2933602,1.1271523,-0.25556228,0.23279285,-0.03222689,0.3661184,0.1415481,0.87141347,0.006327211,-0.5772674,-0.5358024,2.884522,2.157811,1.6175011,1.3430883,2.5000422,2.911711,1.2385057,1.7948065,1.9128153,2.2638524,1.9418101,2.271628,0.80147487,1.7168809,1.0376223,0.23850974,1.263077,0.22054711,0.91178143,1.2810594,1.2031621,1.5736723,-0.835534,-0.15569007,-0.49812818,0.86669475,-0.27541032,-0.91506284,0.94907606,-0.14667389,-1.2125067,0.38896176,-0.29726413,0.30122608,0.74804395,0.12278974,1.0877799,1.3053229,-0.50888824,-2.060005,-0.4252331,-0.56302476,0.91722196,-0.29145208,0.9442636,1.3131315,1.0579436,-0.5283629,0.073103905,0.1021817,-1.5648651,-0.9690479,1.4641985,2.55605,-0.3054148,0.13226001,-0.07955327,-0.40818164,1.8637178,-1.085251
2.930274,2.950556,3.20499,2.007131,0.88870347,-0.7193975,3.9107726,4.051904,2.2162464,-0.12636743,1.4579018,1.5888636,1.7250451,1.9252936,2.0221996,-0.011732581,1.988798,1.202878,2.9273772,1.0887476,-0.14099519,0.75018173,3.2322826,2.1996615,1.8239735,2.7479534,1.2337689,-0.36445847,0.77910155,0.2095834,2.1935995,0.65572,4.0126677,4.3453574,3.03455,2.5728042,-0.4885916,1.2720275,1.2265978,0.63319254,0.28927448,-0.8403186,0.7720849,0.6037425,1.1821933,0.53051466,2.0674348,1.7709674,0.75595105,0.25986004,1.264801,0.863781,3.0432057,1.3516951,1.7843655,2.0870142,3.6812403,3.3006327,3.3208282,2.5907671,3.2731063,2.659591,2.7271779,2.106515,1.5456792,2.1934702,3.3574011,3.4013407,2.3381736,2.6062489,1.3456117,0.78568393,2.663747,1.1284767,-0.101996884,1.9176652,1.8194628,2.196494,-0.7328141,0.1373597,0.20279829,1.4817044,0.20304233,0.16246325,2.6972375,0.42318007,-0.6868199,0.7977482,2.7195022,1.7484767,2.0876234,1.2465649,2.5247033,2.4831545,-0.42877033,0.3524405,0.7490668,0.6483352,3.643333,2.0175745,2.4501266,2.399514,2.6606195,1.0994655,1.8244704,1.9678226,-0.47859478,0.4374328,0.13631381,0.9742492,0.6369663,1.326836,0.13898236,-0.33995652,1.8970028,-1.9282206
