Background,Precentral_L,Precentral_R,Frontal_Sup_L,Frontal_Sup_R,Frontal_Sup_Orb_L,Frontal_Sup_Orb_R,Frontal_Mid_L,Frontal_Mid_R,Frontal_Mid_Orb_L,Frontal_Mid_Orb_R,Frontal_Inf_Oper_L,Frontal_Inf_Oper_R,Frontal_Inf_Tri_L,Frontal_Inf_Tri_R,Frontal_Inf_Orb_L,Frontal_Inf_Orb_R,Rolandic_Oper_L,Rolandic_Oper_R,Supp_Motor_Area_L,Supp_Motor_Area_R,Olfactory_L,Olfactory_R,Frontal_Sup_Medial_L,Frontal_Sup_Medial_R,Frontal_Med_Orb_L,Frontal_Med_Orb_R,Rectus_L,Rectus_R,Insula_L,Insula_R,Cingulum_Ant_L,Cingulum_Ant_R,Cingulum_Mid_L,Cingulum_Mid_R,Cingulum_Post_L,Cingulum_Post_R,Hippocampus_L,Hippocampus_R,ParaHippocampal_L,ParaHippocampal_R,Amygdala_L,Amygdala_R,Calcarine_L,Calcarine_R,Cuneus_L,Cuneus_R,Lingual_L,Lingual_R,Occipital_Sup_L,Occipital_Sup_R,Occipital_Mid_L,Occipital_Mid_R,Occipital_Inf_L,Occipital_Inf_R,Fusiform_L,Fusiform_R,Postcentral_L,Postcentral_R,Parietal_Sup_L,Parietal_Sup_R,Parietal_Inf_L,Parietal_Inf_R,SupraMarginal_L,SupraMarginal_R,Angular_L,Angular_R,Precuneus_L,Precuneus_R,Paracentral_Lobule_L,Paracentral_Lobule_R,Caudate_L,Caudate_R,Putamen_L,Putamen_R,Pallidum_L,Pallidum_R,Thalamus_L,Thalamus_R,Heschl_L,Heschl_R,Temporal_Sup_L,Temporal_Sup_R,Temporal_Pole_Sup_L,Temporal_Pole_Sup_R,Temporal_Mid_L,Temporal_Mid_R,Temporal_Pole_Mid_L,Temporal_Pole_Mid_R,Temporal_Inf_L,Temporal_Inf_R,Cerebelum_Crus1_L,Cerebelum_Crus1_R,Cerebelum_Crus2_L,Cerebelum_Crus2_R,Cerebelum_3_L,Cerebelum_3_R,Cerebelum_4_5_L,Cerebelum_4_5_R,Cerebelum_6_L,Cerebelum_6_R,Cerebelum_7b_L,Cerebelum_7b_R,Cerebelum_8_L,Cerebelum_8_R,Cerebelum_9_L,Cerebelum_9_R,Cerebelum_10_L,Cerebelum_10_R,Vermis_1_2,Vermis_3,Vermis_4_5,Vermis_6,Vermis_7,Vermis_8,Vermis_9
-0.07714273,-0.026679672,-0.10334434,-0.070731275,0.10002901,0.09697732,-0.103345394,0.0264989,-7.722807e-05,0.011040625,0.019907892,-0.020200789,-0.01194314,0.0257167,0.12512167,0.0809694,0.008939022,-0.022069188,-0.07256789,0.069614016,0.073671386,0.072988,-0.085760124,-0.057368387,-0.017484114,-0.0009136134,0.1494463,0.09757561,0.019269751,-0.04326238,-0.046058558,-0.017820735,0.023717925,0.031669863,-0.05568036,-0.050706953,0.025277413,-0.07482636,0.029915191,-0.049099304,-0.01349735,-0.05237451,-0.057375003,-0.06089478,-0.027758135,-0.016381662,-0.04471239,-0.0038721547,-0.027053215,0.008722014,-0.011072903,0.02124938,0.010357262,0.041788653,0.02775052,0.028502466,-0.040667944,-0.048074443,-0.040106576,-0.00887247,-0.06266192,-0.0135482615,-0.013139901,0.038203638,-0.106984824,-0.059840884,-0.06283259,-0.02488432,0.008295048,0.027734727,-0.12012492,-0.09150943,-0.12546247,-0.18920982,0.01653726,-0.0828719,-0.036681354,-0.047987808,0.05866467,0.0083008865,0.093445525,0.015656132,0.039907653,-0.0015203574,-0.048861474,-0.05898881,0.028141264,-0.09945437,-0.0005119617,0.024626244,-0.045154646,-0.09444456,-0.07669629,-0.08243118,0.035140224,-0.0029087202,0.0545,0.010934805,0.001835949,-0.09962167,-0.060135618,-0.096210636,0.027716413,-0.08235061,-0.007169706,-0.07213878,0.0015316005,-0.12711121,-0.057391908,0.007874212,-0.037934218,0.027615784,0.017532011,0.019796815,-0.005614043,0.015941674
0.019410303,-1.3786242,-0.3612683,0.2603049,-0.48362818,0.3556476,-0.859632,-0.19921763,-0.8315423,0.96325403,0.37097535,0.52035004,-2.155392,0.19968237,-1.3974547,-0.15908246,2.4715178,0.5368305,-0.7729716,-0.46761644,0.53963333,0.6790406,-0.32931447,-0.43689632,0.45950627,1.0185254,0.27872425,-0.1632996,2.439663,0.95002204,0.41826287,0.64982647,0.21414132,0.363293,-0.55840987,0.5219537,-0.36637822,1.5226738,-1.1096364,-0.57157093,-2.1497972,2.6403952,-0.88082063,-1.3231646,-0.4666407,-1.5280428,-0.45186734,-0.8732809,-0.039308384,-0.25592697,-0.19532983,0.14359403,0.07358686,-0.5776949,1.2701724,0.3629173,-0.11535172,-0.15803875,0.21543415,-0.017370034,1.1846548,0.6321266,-0.34068608,0.36095273,0.2150663,0.35142374,0.04598745,0.039276995,-1.9993739,-1.2446516,-0.897634,-1.4532115,-0.39771515,2.176686,0.38004717,0.9144735,-0.5669111,-0.017452052,1.2904036,-2.095592,-1.9718363,-1.3183556,-1.4947944,-0.5503513,-1.8167174,0.452305,0.38786528,0.11524089,3.0223956,1.2255304,-0.2676063,0.40338096,0.6965343,0.68664384,-1.6335338,-1.8058103,-2.8455486,-1.0130241,-0.00041221152,-0.6508551,0.6294065,0.028965287,0.71023375,1.0170629,-0.86725235,-0.10142563,-0.64920723,-0.0651305,-1.2704283,-0.25704914,-0.94396776,-1.6725307,1.2457767,0.17724723,-0.6120328,0.11357874
-1.4191133,-2.2977133,-1.4540914,-0.729417,-1.4661001,-0.6418909,-1.7230803,-0.9354166,-1.4132059,-0.21775326,-1.1853192,0.093631744,-2.6529546,-0.49070176,-1.8637382,-1.017643,3.8440042,0.45243618,-1.571149,-0.08783117,0.21551405,-1.1040463,-1.5688919,-1.4283534,-0.6572339,0.08312686,-0.6725628,-0.8528024,3.1529033,1.5107843,-0.15902616,0.27149,-0.94145876,-0.26723596,-1.2507582,-0.94554293,-1.9258181,0.8974911,-1.7540988,-1.4619211,-3.3907738,1.686704,-2.2875082,-2.4649158,-1.778639,-2.3705852,-1.5099709,-1.2079315,-0.7708607,-1.1218576,-0.8839058,-0.60629314,-0.9618347,-1.4954731,-0.10446917,-0.58748835,-1.1617802,-0.96350086,-0.39195758,-0.7393998,0.34310073,-0.0041368636,-0.36622787,0.48384067,-0.9187211,-0.5186411,-1.1456031,-0.75547606,-2.2129889,-1.3539152,-1.8901669,-1.6950839,-1.5393223,2.255283,-1.0638263,1.390356,-1.7690648,-0.55666226,1.4012692,-2.7300706,-1.6174096,-2.029088,-1.173232,-0.96729827,-2.723453,-1.5958093,0.10505572,-0.7089675,0.9684671,-1.070295,-1.1271749,-0.45014012,-0.4276123,-0.15350044,-0.20587224,-0.33327943,-1.2872556,0.24151658,-1.2394025,-0.9612051,-0.35468677,-0.4645742,0.08950771,0.32060686,-2.0161774,-1.0791771,-1.3620871,-0.48240796,-0.0739788,1.9520324,0.5072231,-2.3987362,0.23238042,-0.2292212,-1.5919564,-0.69750977
-2.2457466,-1.8335204,-2.0917249,-1.7857165,-1.9645517,-1.7213651,-2.003984,-1.7646031,-1.453078,-1.8816539,-2.3747008,-0.3385832,-1.3965492,-1.577428,-1.3251488,-1.7712168,2.7292657,-0.12666442,-2.0676928,-0.088054016,-0.3584565,-2.4826965,-2.2546697,-1.8702407,-1.7110938,-1.2433678,-1.4014858,-1.257924,1.6901577,1.3010415,-1.115032,-0.6256969,-2.0271342,-1.3727486,-1.199473,-2.2123876,-2.5717614,-0.46365038,-1.2025774,-1.186734,-2.1692142,-0.71975994,-2.4469235,-2.232046,-2.0498624,-1.4181061,-1.7065144,-0.79503214,-0.611874,-1.0545508,-0.66964835,-0.6670738,-1.3642939,-1.5777023,-2.0147865,-1.459887,-1.4847822,-1.1256397,-0.5686812,-0.8140647,-1.0259337,-0.8312088,0.30221146,-0.055586077,-1.868405,-1.4866314,-1.9701664,-1.5226556,-1.123614,-1.0877057,-2.0198467,-1.275431,-2.0595472,0.693126,-2.2396345,0.59924567,-2.2924898,-1.2791758,0.1777809,-1.9875003,-0.06365987,-1.7560325,0.6197238,-0.9104606,-1.9263179,-3.3387284,-0.29168788,-1.3740937,-2.7977512,-3.4066312,-1.9065908,-1.705999,-1.8216623,-1.4348665,1.3439944,2.683863,0.7784155,1.502786,-2.3468008,-1.2586154,-1.5464984,-1.0503651,-0.949905,-1.1684365,-2.5692353,-1.6699752,-2.1041281,-1.1678091,1.1162494,2.5532973,1.309349,-1.7866241,-1.388605,-1.1467007,-2.6716208,-2.1530552
-0.6448102,-0.43053642,-1.0340834,-1.1201769,-1.0536741,-1.0503902,-1.2382525,-1.7980357,-0.72018635,-1.4095415,-0.72388417,-0.01989945,0.2901961,-1.8858584,-0.38629436,-1.241586,-0.0059237042,-0.8378319,-1.6134524,-1.3454865,0.3668085,-0.701317,-0.9216657,-0.58194304,-0.50303423,-0.37554884,-0.18020545,-0.111572586,-0.4468194,0.4243663,-0.93480647,-0.72486836,-1.3789309,-1.5017959,0.03929894,-0.5780718,-0.8129817,-0.22098136,0.24519709,0.49389496,0.78936964,-0.6511009,-0.35428175,-0.29599008,-0.041044444,0.6467756,-0.09136698,-0.051923633,1.1895914,0.69527864,1.1440134,0.93890965,0.2854697,-0.13551837,-1.373131,-0.6333184,0.049211275,0.07257021,0.5403446,0.39056742,-0.89660203,-0.42579257,1.2428505,-0.93181735,-0.8278696,-0.8293685,-0.6321736,-0.85897166,-0.42252555,-1.6190583,-0.65641046,-0.8952838,-1.0974474,-0.30049598,-1.2637202,-0.82100546,-0.9852919,-1.1151557,-1.3300754,-1.0865953,0.23559901,-1.0821519,1.6229278,-0.49252075,-0.048319556,-1.4651268,0.10234833,-0.22246037,-2.6346977,-1.6764688,-1.4436864,-1.6068867,-1.2169486,-1.2484502,-0.34349203,2.8276072,-1.0156248,0.10895094,-1.756402,-1.3192173,-1.1285948,-0.90709347,-1.0224649,-1.4198195,-1.5090656,-0.48543093,-1.7899207,-1.1879936,0.02526003,-0.47261792,-0.31909546,-0.9349932,-1.0881909,-1.6133178,-2.6118803,-2.4461448
1.2045211,0.03480129,0.42754462,0.38723928,0.42271024,0.68329746,-0.22591281,-0.96481675,0.2389902,0.29140326,1.587731,0.056879427,0.9804865,-1.3637065,0.4730783,0.1951123,-1.1698871,-1.2860501,-0.40632656,-2.2975874,2.364204,1.9049927,0.9274983,1.2209405,1.8038105,1.8793815,1.9702893,1.9763483,-1.2741501,-0.23225991,0.51521283,0.17965542,0.04258616,-0.35416093,1.2073872,2.152692,1.0380305,0.9765304,1.0534176,1.1769732,2.3761115,1.3421457,1.5881957,1.4079102,1.8902382,1.3642731,1.4361792,0.34205127,2.3702447,1.9357245,2.4402764,2.0600896,2.041802,1.3443487,0.55308414,0.73482776,1.3715001,0.88221896,1.3545778,0.96558505,-0.21534432,0.24703567,1.0169334,-1.0930465,0.99351865,0.6056256,1.3638601,0.59988445,-0.54768425,-2.3288183,0.91746074,-0.27077985,-0.22866035,-0.1423716,-0.118148126,-0.98629725,0.6980162,0.08061977,-1.7587683,-0.65415764,-0.5479314,-0.7538398,0.9208935,-0.18241419,1.0484582,1.4761264,1.0926646,1.8781427,0.29819423,1.4210232,-0.087609775,-0.31113,0.4125165,0.032760434,-2.6097264,0.015654262,-3.3215547,-1.8877991,-0.6024391,-0.64780307,-0.07969586,-0.10133477,-0.47310084,-0.45435324,0.3968842,1.378902,0.20232935,-0.17434956,-1.1086034,-2.2996163,-0.7984291,-0.881211,0.3670319,-0.9067189,-0.83737665,-0.77628547
1.049115,-0.61728674,0.55479074,0.56944686,0.8379313,1.1133943,0.046093665,-0.24577959,0.296507,0.45604992,1.172382,-0.61474156,0.27538937,-0.9874315,0.74569035,0.85562575,0.04882868,-0.882812,0.38733235,-1.62968,3.103282,2.2909627,1.2457108,1.4501126,2.3631248,2.4473996,2.414481,2.4641738,-0.7000549,0.15778388,1.6618414,1.0154935,0.5654645,0.57636553,1.1476138,2.437378,0.70695424,1.2344079,0.45384854,0.1216492,1.6271176,2.1991694,1.2396969,1.3308007,1.4562627,0.23721611,1.1386925,0.27547932,1.4308636,1.0360693,1.502318,0.9296001,1.7613597,1.3651952,0.6840223,0.72984236,0.827954,0.17693406,0.757313,-0.1451917,-0.47730422,-0.4642357,-0.66274315,-0.5069763,1.5686883,0.56322664,1.5928932,0.76791,-0.5677883,-1.8418075,1.4575205,0.73367375,-0.31142217,0.0039339066,-0.7664681,0.029922975,0.63492924,0.89902776,-1.0341591,-0.19285502,-0.6324709,-0.5617914,0.25420752,-0.005365612,0.7096622,1.1718673,1.652445,2.4592228,1.2223405,1.3675247,0.6002616,0.571542,0.7081417,0.72128016,-1.8289001,-1.3175179,-2.0821114,-1.299841,-0.6774052,0.2027539,-0.061707404,0.60821825,-0.27992654,0.25442046,1.1200767,1.8348144,1.9156475,0.8777899,-0.2541181,-1.0290303,1.1603597,-0.6288603,0.6681933,0.3298834,0.93540007,0.76983196
0.12633424,-0.5928457,0.059720237,-0.35667872,0.16629231,-0.028098276,-0.10989671,-0.34136963,-0.42286322,-0.6941656,-0.9496896,-1.0181555,-0.9117347,-0.86276793,0.270671,0.40841314,0.74586225,0.13835596,0.29961073,-0.36412057,1.1519538,1.1628162,0.8053821,0.4944059,0.908663,0.83666193,0.84604996,0.8209942,-0.07228272,0.9442696,1.4376953,1.0238632,0.42528358,0.2534974,0.51357776,0.5172723,-0.63452244,0.58906996,-0.43055907,-0.481611,0.43854532,1.263121,-0.027413318,0.37126136,-0.17182195,-0.80253655,0.08104466,0.0678073,-0.025418766,-0.49082777,-0.21811882,-0.7883246,0.38320047,0.5704231,-0.6488809,-0.18283023,-0.04799352,-0.6343174,-0.085806765,-1.2831645,-1.0051003,-1.7403032,-1.7919167,-0.26159555,1.0825827,-0.850999,0.4738489,-0.56295836,0.03581062,-0.34788433,1.5223882,1.4019774,-0.1747678,-0.29688588,-1.4646976,0.02141129,-0.7903062,0.45509264,-0.31893334,0.62661636,0.17723216,-0.26763806,0.6720269,0.124703206,0.10673273,-1.220783,1.4411746,1.1583613,-0.36421666,-0.84353554,0.2425513,0.61190933,-0.1791826,0.5409687,0.25276908,0.0839771,0.27143198,0.70687395,-1.3065687,0.37243786,-0.6410035,0.7776338,-0.37961388,0.13536419,0.25086525,0.6424247,1.5368085,1.0918071,0.79887825,-0.77958196,1.5709517,0.6567106,-0.30422646,0.85451144,0.84147704,0.61461467
0.1404021,0.38488936,0.3813526,-0.50742686,-0.28661013,-0.6229041,0.18428808,-0.67732865,-0.3947789,-0.5391553,-1.4285384,-0.78978574,-1.214091,-0.16699998,-0.15135609,0.45561144,-0.39269793,0.47965986,0.20013805,0.08249782,-1.3379408,0.1794906,1.3725283,0.38140348,-0.406945,-0.51101303,-0.4164691,-0.32895088,0.26889694,0.60466987,0.6136639,0.5110474,0.5078148,-0.49308118,0.39971778,-0.6472941,-1.0138619,0.011158078,-0.39990252,-0.1038424,-0.21911009,-0.14593907,-0.29098192,-0.21022794,-0.97629935,-0.9635447,-0.32095253,-0.28626835,-0.6354525,-1.0331013,-0.96147,-1.1909375,-0.4906453,-0.038206864,-1.2611583,-0.6376494,0.11711135,-0.45184633,-0.42856607,-1.2518089,-0.58377826,-1.4496938,-1.1630024,-0.6674874,0.86845154,-1.2315103,-0.19682826,-1.4190879,0.692122,0.6569612,1.6815386,1.1895617,0.58204967,-0.29421368,0.09358043,-1.208494,-1.329101,-0.13592272,-0.0699474,0.9680611,0.5609184,-0.36314803,0.58031625,-0.09329862,0.2271583,-1.5068945,0.9262777,0.08044068,-1.3627316,-1.6738838,0.06999933,0.8209252,-0.24185216,0.5733533,0.5608853,0.6993435,0.36841467,1.1393857,-0.8443867,0.19853808,-0.58416563,0.749153,-0.36308724,-0.44051424,-0.28186655,-0.45838466,0.6209832,0.89931625,0.49841672,-1.9796299,-0.6329326,1.2067285,-1.0102885,0.10228529,-0.17721152,0.4869704
0.607572,0.6346716,0.8257641,-0.036077447,-0.1474147,-0.026681324,0.70175266,-0.40724558,0.64078027,1.0158863,-0.14004546,-0.7591481,-0.49269018,1.0534117,0.33164153,1.5473301,-0.8532134,-0.32456312,0.57137525,-0.24836266,-1.9430194,-0.85357034,2.14464,0.9402739,-0.64236516,-0.6156146,-0.26109606,0.21791624,0.97736377,-0.9927885,0.08705654,-0.102639146,0.42643705,-0.9081831,0.3835221,-0.50672376,-0.4035078,-0.65297854,-0.026148045,-0.662814,-0.6668762,-1.2589666,-0.14961234,-0.5920783,-0.9092436,-0.9851233,-0.4580904,-0.7300237,-1.0323327,-1.0560598,-1.2222155,-0.9970528,-1.0154707,-0.65789866,-1.1399014,-0.82002217,0.27161914,-0.14663862,-0.9567486,-0.86305934,0.47200996,0.19146232,-0.461354,-0.9468257,0.9732264,0.0017181253,-0.48307332,-1.0747541,0.7163806,0.526583,1.0055696,0.20666336,0.7347556,-0.14509907,2.5535953,-1.5195885,-0.34433815,-0.0714286,0.53235096,-0.03501236,0.16449653,-0.89253086,-0.75771934,-0.5651599,0.6334391,0.28726256,0.091951765,0.043321144,-0.7446304,-0.8904999,0.5471833,1.3081892,0.7783307,1.053225,0.029347485,-0.60910314,-0.45671064,0.19482073,0.20139794,0.20543565,-0.0059049674,0.8080034,-0.2322357,-1.1076831,0.5332861,-0.29530355,0.9034333,0.6691725,-0.021644786,-0.51336783,-1.6808459,-0.25926405,-0.7881986,-1.3007867,-0.16052414,1.5680512
